experiment_label,tolerance,enhancements,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,satellites3-25,TERMINATION_REASON_OPTIMAL,20120,149.571418772,21408.5,-39.00002764971031,-39.00785006191956,9.900800319939841e-5,0.00018919073163596763,7.37579545967721e-5,6.779365769361215e-12,2.975331367566604e-12,1.9896932950857714e-11,3.1043171489983967e-10,5.8420998634020416e-15,3.0053852197642463e-14,237596.99999999916,1.2793547329111944e6,1.5332244730896132
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,satellites4-25,TERMINATION_REASON_OPTIMAL,12680,113.430720569,13486.5,-41.0000043589753,-41.00690660913697,8.315271681796884e-5,5.248440667393885e-6,2.0012442141226217e-6,2.136587238544662e-11,7.606791602498576e-12,5.25670482018452e-13,8.422815908057399e-12,1.8164992371155063e-14,7.683627881311693e-14,237596.9999999993,1.3619275610577837e6,0.9955641727764343
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,savsched1,TERMINATION_REASON_OPTIMAL,720,32.903729406,787.5,217.39087420229805,217.39537242862934,1.0322093379653525e-5,0.0036223099694986734,0.002573820379296876,1.756581238976299e-5,1.5404400687604736e-5,2.5063385077573225e-6,1.1388585749101223e-5,9.191180345216613e-9,1.4004000625095214e-6,22.24612839692864,122.39365395533119,10.071573759739994
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,scpj4scip,TERMINATION_REASON_OPTIMAL,1160,19.446467713,1257.5,104.08380282304002,104.06443330055141,9.261145514589382e-5,0.0008345225557840352,0.00018030212780839605,0.0,0.0,2.5580978773614325e-5,9.015106390419803e-5,0.0,0.0,0.7934993539473393,5.235298269692108,0.7580929546874074
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,scpk4,TERMINATION_REASON_OPTIMAL,1120,18.760821823,1215.5,280.54308052469395,280.4892802317544,9.572454665628071e-5,0.0024043732902505233,0.0002992039993001683,0.0,0.0,5.25875283218857e-5,0.00014960199965008414,0.0,0.0,0.9839246307379571,9.55138037321362,1.2539735100685618
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,scpl4,TERMINATION_REASON_OPTIMAL,1240,40.577041268,1340.5,211.74107633312892,211.7001231612805,9.648726819453883e-5,0.002372312757761145,0.00035320794399973376,0.0,0.0,5.18863126798985e-5,0.00017660397199986688,0.0,0.0,0.8114043951617456,7.45477292927903,0.9404557433692309
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,scpm1,TERMINATION_REASON_OPTIMAL,1360,138.332429879,1464.5,413.7817751654499,413.7038101410533,9.410546879676774e-5,0.002899307199483265,0.00027541439461886696,0.0,0.0,4.043062031411807e-5,0.00013770719730943348,0.0,0.0,0.5595413513738495,9.479181702352635,0.669470381770294
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sct1,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,179.771091817,100025.5,-218.11453874528993,-218.73323968250483,0.001413050305831176,0.08335350696074122,0.07698733488604148,0.011660562595417428,0.004237430000212685,2.081526058549219e-7,1.5190271671607569e-6,1.0418477359344359e-5,4.233196803409276e-6,1823.842306982688,1824.001614357688,999.9999999999451
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sct32,TERMINATION_REASON_OPTIMAL,20960,21.811175091,22029.5,-64.71407627617394,-64.72659308149872,9.59578434119926e-5,0.6396595782696145,0.30736000590695767,0.028140449381487475,0.013185879015696678,1.4622930864575804e-6,6.134318050233662e-6,2.514302749972827e-5,1.317270630938729e-5,2155.6997922545374,2155.798519318366,1000.0000000001888
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sct5,TERMINATION_REASON_OPTIMAL,10280,27.652613623,10818.5,-228.51551426190633,-228.52471427377714,2.0085597940195243e-5,7.783745422429651,7.060991074501107,1.1706059477571085e-6,1.1621564492969583e-6,1.0645166963279654e-5,5.2025398052645164e-5,1.0459168050559503e-9,1.160995453843115e-9,965.0610215259863,965.2549771966115,1000.0000000000063
