experiment_label,tolerance,stepsize,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,core4284-1064,TERMINATION_REASON_OPTIMAL,2920,9.678451627,3107.0,1054.034957408346,1053.8288932831192,9.771333752017131e-5,0.022567794656604252,0.013636141385589329,0.0,0.0,2.439439101691292e-6,1.4740180937833023e-6,0.0,0.0,1.0000000000000269,16.20997151485299,2.00000000000001
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,core4872-1529,TERMINATION_REASON_OPTIMAL,2040,6.935179202,2183.0,1509.593490740206,1509.2933027277418,9.940373033639621e-5,0.0665590773425069,0.0521314038942885,0.0,0.0,7.223496545471382e-6,5.657847177587204e-6,0.0,0.0,1.0,20.210644105602203,1.9999999999999982
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,cryptanalysiskb128n5obj16,TERMINATION_REASON_OPTIMAL,920,4.304652303,1007.0,0.0,-8.742913751787947e-5,8.74214943320295e-5,9.618945700826807e-6,9.597166105379529e-6,0.0,0.0,1.5601093976259273e-8,5.645391826693841e-7,0.0,0.0,1.3589122391530835,117.49419957105837,2.1003802637135053e-6
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,d20200,TERMINATION_REASON_OPTIMAL,7720,6.414048244,8145.0,12215.72499941952,12215.273107357802,1.849591096660697e-5,0.46662010455634656,0.3832233491716579,0.0,0.0,9.004059965508597e-5,0.00034524626051500714,0.0,0.0,1.0000000000000078,12.192285548663998,107.7143924988843
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,datt256,TERMINATION_REASON_OPTIMAL,1040,22.095949475,1135.0,255.99999736136056,255.9559840247703,8.580334022294375e-5,0.002247745526731083,0.0018707292178961055,0.0,0.0,9.477906368392705e-5,0.0006235764059653685,0.0,0.0,0.2872983469158103,1.460449817058068,3.4591725500601966
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,dc1c,TERMINATION_REASON_OPTIMAL,0,0.176793066,22.0,20049.76,20049.76,0.0,695.2366503572722,519.0,0.0,0.0,6.952380859377081e-8,5.190010716728569e-8,0.0,0.0,0.0,0.0,0.0
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,dc1l,TERMINATION_REASON_OPTIMAL,15320,63.582979239,16127.0,1.7440252402545735e6,1.7437808666798747e6,7.006510601258501e-5,0.050896332640650827,0.05000629031654241,0.0,0.0,2.0957478812035298e-5,2.719211001443307e-5,0.0,0.0,0.9999706513847938,7.939909626449479,9.999458191098314e6
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,dolom1,TERMINATION_REASON_OPTIMAL,0,0.194028741,22.0,0.0,0.0,0.0,3725.130064843374,3725.0,0.0,0.0,3.7251300644704164e-7,3.7249999996275e-7,0.0,0.0,0.0,0.0,0.0
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,ds-big,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,3541.763008574,100003.0,86.85005091858329,85.94035097378816,0.00523446597101786,0.010890353290421623,0.003877640677537819,0.0,0.0,0.0003276918103384349,0.0019388203387689096,0.0,0.0,0.3910403514072509,1.5386700084527096,233.16439874453644
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,ds,TERMINATION_REASON_OPTIMAL,88520,836.633400229,92988.0,57.23259445555959,57.2210782043139,9.974781209101637e-5,0.0011514698957364095,0.0005110478414160902,0.0,0.0,4.333163496414283e-5,0.0002555239207080451,0.0,0.0,0.49608941756995034,2.0615516256400506,23.524828654671648
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,dws008-03,TERMINATION_REASON_OPTIMAL,360,1.385531561,419.0,584.4899100079292,584.3811770381361,9.294440301764113e-5,8.423457080874759e-5,3.553546432011334e-5,0.0,0.0,3.598020371915529e-9,1.9730962976187308e-8,0.0,0.0,22.000000000000053,118.79577780498403,94.99931079383992
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,dws012-01,TERMINATION_REASON_OPTIMAL,360,0.940815852,419.0,1469.595620258096,1469.5177764397476,2.6476468028677156e-5,0.00011202370382564727,6.751015126349458e-5,0.0,0.0,5.3669264431550654e-9,3.748481469377822e-8,0.0,0.0,22.000000000000046,106.49679025202335,154.99995924489656
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,dws012-02,TERMINATION_REASON_OPTIMAL,440,2.272502027,504.0,1469.71103432677,1469.4371551458917,9.31514887103229e-5,0.000194682490015501,0.00016160464989201095,0.0,0.0,6.598261615801826e-9,8.973051076735755e-8,0.0,0.0,21.999999999999975,146.4401480467142,154.99742110355874
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,dws012-03,TERMINATION_REASON_OPTIMAL,400,3.092544608,462.0,1469.6009602638817,1469.5774131653843,8.00873127636484e-6,2.0548386492517485e-6,1.2327872447315258e-6,0.0,0.0,5.6882592021891056e-11,6.845015240041787e-10,0.0,0.0,22.000000000000057,155.04249145794168,154.99997351206508
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,eilA101-2,TERMINATION_REASON_OPTIMAL,71360,623.194187342,74970.0,803.3172575460994,803.32766727878,6.475144181323497e-6,0.0010978844751427818,0.000540862008637788,0.0,0.0,9.980767955843471e-5,0.000270431004318894,0.0,0.0,0.44772304411939573,1.182163299544151,80.11355539854955
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,eilC76-2,TERMINATION_REASON_OPTIMAL,45520,158.957596403,47837.0,725.7633476464011,725.7448977568191,1.2702089396337997e-5,0.0009644405017416879,0.0007827927322574535,0.0,0.0,9.98359357801004e-5,0.00039139636612872675,0.0,0.0,0.5000189699418774,1.3749108536570127,76.8003652031291
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,eva1aprime6x6opt,TERMINATION_REASON_OPTIMAL,9040,13.79243451,9531.0,-495.51002187834104,-495.60213966879894,9.285017765960367e-5,0.0022878326834665907,0.0014380779614207029,0.09987733019505785,0.07053776108685701,1.027601905361312e-6,3.056272233112859e-5,9.977755264241544e-5,7.046729379306395e-5,0.49551002187834103,2.5660451388914614,10.814423003897094
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,ex1010-pi,TERMINATION_REASON_OPTIMAL,3840,11.112754013,4073.0,220.6704245215417,220.62870171791275,9.433164379880519e-5,0.003849397304195252,0.0007830850895000907,0.0,0.0,9.791294477279938e-5,0.00039154254475004535,0.0,0.0,0.9999957997326124,8.559767355022165,0.9274580652033783
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,ex10,TERMINATION_REASON_OPTIMAL,720,13.912977386,797.0,99.99997963805353,99.98353166909779,8.183740471430429e-5,0.00023871370853369267,0.00017499060177916803,0.0,0.0,1.48886232063726e-5,4.374765044479201e-5,0.0,0.0,0.24998922004959334,1.8398924135383523,8.676645004017837
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,ex9,TERMINATION_REASON_OPTIMAL,440,1.926939956,502.0,81.00001558038532,80.99162034963818,5.15071261125629e-5,2.334682712730519e-5,9.57099997789257e-6,0.0,0.0,1.62366534422052e-6,3.1903333259641897e-6,0.0,0.0,0.2793892989002749,1.6997541303977455,1.1754618087338815
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,fast0507,TERMINATION_REASON_OPTIMAL,12520,88.103398248,13188.0,172.1447010728839,172.1351943764919,2.7533304189656742e-5,0.002294038602022754,0.000817236052276904,0.0,0.0,9.993852019928021e-5,0.000408618026138452,0.0,0.0,1.0,6.176645823918066,1.9999999999999116
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,fastxgemm-n3r21s3t6,TERMINATION_REASON_OPTIMAL,1560,19.820820664,1680.0,83.9958335595354,83.99978374371774,2.3374477074487296e-5,0.010909136441055331,0.010079100191177304,0.0,0.0,9.032627224228589e-5,0.00011857764930796827,0.0,0.0,0.14814079993223045,5.778131483580152,380.88235106326897
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,fastxgemm-n3r22s4t6,TERMINATION_REASON_OPTIMAL,2200,28.260978356,2352.0,84.00076214891652,83.9973780684112,2.0024365362692734e-5,4.424715345962447e-5,1.8137907809856468e-6,0.0,0.0,3.66284889147883e-7,2.1338715070419373e-8,0.0,0.0,0.14141723828471295,5.645756115818083,362.4958763058354
