experiment_label,tolerance,primal weight,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,seqsolve3short4288excess384,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,1947.083824008,100023.5,-131768.36767650992,-74356.32890893117,0.27852926500011077,160.30866965728407,20.12689445967241,0.0,0.0,0.05039402191781924,0.006937318211002985,0.0,0.0,377.6940633556299,501.24342479661414,50.00022652850847
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,shipsched,TERMINATION_REASON_OPTIMAL,10720,13.00492211,11296.5,3.4924596548080444e-10,-4.190951585769653e-9,4.540197530637064e-9,1.53590746799283e-5,4.3322106648702174e-6,6.231176024079037e-13,3.162997607671827e-13,6.972471205317414e-11,9.508176952505799e-11,2.469936401399553e-14,1.5814988038359136e-13,79471.31352964931,3.0019929052342684e6,0.0008814418186785441
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,shs1014,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,2874.216668712,100030.5,11959.54557242794,-105847.72526812901,0.9999915116316294,57.802574075511316,24.000000000000004,0.0,0.0,0.002883581192557999,0.003232132920316416,0.0,0.0,321.07202993451955,1148.3019669514485,35.7581970891868
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,shs1023,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95000,3641.12767392,100009.5,4961.290896807551,5950.9501106728885,0.09068426264818853,50.86635182311118,9.99999999999999,0.0,0.0,0.001488677870534363,0.0004887162349791464,0.0,0.0,471.0703628666391,1136.2045290933395,31.732413162565024
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,shs1042,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,94480,3478.571711669,100041.5,-47077.419689907714,-2778.7121717864534,0.8885129541949544,268.46351926332994,95.99999999999953,0.0,0.0,0.008166065193100574,0.013690278643071119,0.0,0.0,320.03857921949276,1410.0069085427062,42.67923201022525
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,sing11,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,921.623083771,100022.5,1.6804921865355372e7,1.722202664626672e7,0.012258071525597212,25.152625976744076,9.969579940420921,0.0,0.0,0.001167414019883633,0.005578947924130342,0.0,0.0,385.40128442934775,7495.777744887621,124301.82482038265
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,sing17,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,1901.711711828,100022.5,3.3839458021371484e7,3.4180156517827295e7,0.005008827141333532,18.905884497132114,2.5225772392132058,0.0,0.0,0.0006396689163504714,0.001464061079055836,0.0,0.0,362.29089268575007,10370.411522215083,104272.99416513754
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,sing326,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,525.866406918,100022.5,6.471019405096114e6,6.470792318824066e6,1.7546712882663807e-5,6.7737928950525585,2.352591945816357,0.0,0.0,0.00033989632499819043,0.001347611024382848,0.0,0.0,395.89999999999986,6703.683962826773,155463.66675692316
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,sing44,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,491.944697028,100024.5,6.656142649301767e6,6.75095166230949e6,0.007071555083643893,8.830701096669829,2.605525832434523,0.0,0.0,0.00041065915063312713,0.0014580446739980543,0.0,0.0,321.3999999999992,6899.446466921127,89222.10253298447
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,sing5,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,647.501879642,100024.5,1.7645520040593505e7,1.7281557074514963e7,0.010420653135628373,22.017916138168587,6.217990561728811,0.0,0.0,0.0010404631591613654,0.0035617875192489254,0.0,0.0,394.3063561693157,7608.522592116844,104065.08531981522
