experiment_label,method,tolerance,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,savsched1,TERMINATION_REASON_OPTIMAL,480,21.716480846,538.5,217.4216901048203,217.38783845801936,7.767532507279525e-5,0.0016779945899608774,0.0009999220732905822,0.0,0.0,1.164373622658431e-6,4.424433952613196e-6,0.0,0.0,22.00000000000001,102.34838741583997,10.077970505909674
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,scpm1,TERMINATION_REASON_OPTIMAL,1360,125.802418302,1464.5,413.7817751654499,413.7038101410533,9.410546879676774e-5,0.002899307199483265,0.00027541439461886696,0.0,0.0,4.043062031411807e-5,0.00013770719730943348,0.0,0.0,0.5595413513738495,9.479181702352635,0.669470381770294
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,self,TERMINATION_REASON_OPTIMAL,80,1.638491736,106.5,0.0,-1.7142001507497541e-6,1.7141972122726346e-6,7.044998755659709e-5,1.7766618932705982e-5,0.0,0.0,7.044998755659709e-5,1.7766618932705982e-5,0.0,0.0,0.0005351319712745176,0.00469592921797427,0.00012243053395225348
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,set-cover,TERMINATION_REASON_OPTIMAL,6200,1339.014514122,6772.5,7.581834556624084e9,7.581748683254446e9,5.66313174625787e-6,0.009958635540219456,0.0012799125308686765,0.0,0.0,9.860035188336095e-5,0.0006399562654343383,0.0,0.0,0.9598062908579567,9.456037470659412,1.3485319404141689e7
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,square15,TERMINATION_REASON_OPTIMAL,1320,129.113718603,1433.5,6.14555495223626e10,6.145274666271775e10,2.2804478882436212e-5,126.03562512796198,92.25584552047076,0.0,0.0,9.725744758420977e-5,0.00019132794023992924,0.0,0.0,16375.848868194995,923534.4184693829,6643.0996690521515
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,stat96v1,TERMINATION_REASON_OPTIMAL,18200,216.138146969,19407.5,3.7523902738083663,3.7522497353822066,1.6524911813764375e-5,0.00017424851379707943,2.872333236775401e-5,0.7237294948792256,0.11490871451301388,8.712425689853971e-5,1.4361666183877004e-5,5.664764979073364e-5,0.0013525828995323574,0.008440435897090315,0.1815282452014465,59.114553534046685
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,stp3d,TERMINATION_REASON_OPTIMAL,11280,161.260059913,11954.5,481.77678962783676,481.7915784601937,1.5332072713784194e-5,0.004703243811064869,0.002512349628379873,0.0,0.0,9.976952193035051e-5,0.0012561748141899365,0.0,0.0,1.0000000000000013,22.80009673107631,65122.5105266602
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,support10,TERMINATION_REASON_OPTIMAL,17280,141.330963286,18464.5,3.3839423128852006,3.3831921130986298,9.658643013325295e-5,7.931009386856496e-5,4.752882528381158e-5,0.0,0.0,2.8873775117516146e-7,2.376441264190579e-5,0.0,0.0,1.0000000000000002,34.05154250335054,0.35171076942987667
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,wide15,TERMINATION_REASON_OPTIMAL,1000,95.15973812,1098.5,6.333580589161794e10,6.332919172301665e10,5.221780859591685e-5,136.90720078896314,64.25038918666542,0.0,0.0,9.852704044168906e-5,9.223135242163672e-5,0.0,0.0,16376.999999999989,920585.5546231642,6808.944618200234
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,L1_sixm250obs,TERMINATION_REASON_OPTIMAL,19680,1684.180114319,20696.5,4629.46279475814,4629.462785597411,9.892875348753475e-10,6.12127460566356e-10,7.861444828449748e-11,0.0,0.0,6.12127460566356e-10,7.861444828449748e-11,0.0,0.0,3533.9999999997285,111686.89251652604,0.04766860684253759
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,buildingenergy,TERMINATION_REASON_OPTIMAL,46800,887.790745831,49343.5,33246.215021692406,33246.21562493895,9.072272860154575e-9,9.349126451885382e-6,7.635928085392152e-6,2.5627898302651662e-5,2.558341338954051e-5,1.431328147627888e-9,4.053018872188657e-8,3.4606613764395204e-9,3.875687530607561e-9,174.91702819524326,6727.941843750573,72.7080892999863
