experiment_label,tolerance,restarts,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1456591,TERMINATION_REASON_OPTIMAL,0,0.227669037,2.5,0.0,0.0,0.0,10.677078252031311,2.0,0.0,0.0,1.8257383882456478e-5,6.666444451851606e-5,0.0,0.0,0.0,0.0,0.0
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1631475,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95040,162.501699763,100014.5,815.7332173419529,815.7645753885474,1.920863031738375e-5,0.09577148282358827,0.032284232945926306,0.0,0.0,0.0004845585074404871,0.002152282196395087,0.0,0.0,815.733219213319,8238.543217579023,11.340915967104708
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1644855,TERMINATION_REASON_OPTIMAL,41000,434.120007083,43869.5,-1524.333333325265,-1524.3333333778935,1.725716243474273e-11,7.79211948488782e-9,7.0504597715626005e-9,0.0,0.0,3.868739778017118e-12,3.3573617959821905e-10,0.0,0.0,9.999999999999751,335.4857239648821,1.96903126813764
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1690781,TERMINATION_REASON_OPTIMAL,6280,8.665575824,6828.5,-1055.2946917560507,-1055.5039670136086,9.909811083971621e-5,0.002826915245755425,0.001950565761498585,0.0,0.0,4.7468439796347554e-5,0.0009752828807492925,0.0,0.0,0.6095167833713963,3.4259797886142125,42.00855137068232
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1760995,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,94680,2198.350798991,100019.5,-1451.5380306004804,-1543.228778032636,0.03060677058305199,23.278027779481853,8.780698226194701,0.0,0.0,0.027633706928624588,0.03876014514325295,0.0,0.0,1721.6446196816914,18556.088243613933,64.4858467996226
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1828997,TERMINATION_REASON_OPTIMAL,120,0.967666286,149.5,0.0,-2.1558079609735836e-8,2.155807914498505e-8,4.645111382800874e-8,4.2427062751926314e-8,0.0,0.0,2.761455330113929e-10,7.071177125321053e-9,0.0,0.0,0.21637580490414227,4.7461811630840245,6.80964482414968e-10
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1830653,TERMINATION_REASON_OPTIMAL,1320,0.408513016,1421.5,6153.009887296699,6152.994514032956,1.249147496938421e-6,6.502290703361055e-5,2.370077562607875e-5,0.0,0.0,4.173056602213656e-7,1.8231365866214424e-6,0.0,0.0,0.9999999999999998,4.31114990295038,608.5177093333378
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1849932,TERMINATION_REASON_OPTIMAL,2920,38.956677193,3150.5,545.9035009783511,545.8707237399304,2.9994520074890608e-5,0.010672435802534996,0.006796763838120556,0.0,0.0,8.409129086874052e-8,1.903855416840492e-5,0.0,0.0,11.034811252324161,55.174714068274355,13.997969110135271
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1856153,TERMINATION_REASON_OPTIMAL,240,0.721799812,273.5,0.0,-5.414175950026149e-5,5.413882832883848e-5,0.0010066881771736006,7.462038012821131e-5,2.669783182081535e-17,1.2902005852577503e-17,2.6381659421006164e-8,7.454583429391739e-8,5.630485217106677e-18,6.451002926288751e-18,6.699999999999997,32.42338394933849,0.009740283227488019
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1904248,TERMINATION_REASON_OPTIMAL,80,3.445742275,106.5,0.0,5.56399769385818e-6,5.563966735960092e-6,3.7604017094629356e-5,5.3314281647232065e-6,1.9085784107128077e-7,4.386171080028936e-8,6.2279784096802186e-9,5.2786417472507e-8,4.0251293061292606e-8,2.193085540014468e-8,6.699996136177147,30.47494962588933,0.012967753722591941
